degree,Reclassified_School
Accountancy (4-years programme),"Accountancy, Business and Economics"
Accountancy (4-years programme) Cum Laude and above,"Accountancy, Business and Economics"
Accountancy (4-year programme),"Accountancy, Business and Economics"
Accountancy (4-year programme) Cum Laude and above,"Accountancy, Business and Economics"
Accountancy,"Accountancy, Business and Economics"
Accountancy Cum Laude and above,"Accountancy, Business and Economics"
Accountancy (Cum Laude and above),"Accountancy, Business and Economics"
Economics,"Accountancy, Business and Economics"
Accountancy and Business,"Accountancy, Business and Economics"
Accountancy (3-yr direct Honours Programme),"Accountancy, Business and Economics"
Business (3-yr direct Honours Programme),"Accountancy, Business and Economics"
Business and Computing,"Accountancy, Business and Economics"
Bachelor of Business Administration,"Accountancy, Business and Economics"
Bachelor of Business Administration (Hons),"Accountancy, Business and Economics"
Bachelor of Business Administration (Accountancy),"Accountancy, Business and Economics"
Bachelor of Business Administration (Accountancy) (Hons),"Accountancy, Business and Economics"
Business Management (4-years programme),"Accountancy, Business and Economics"
Business Management (4-years programme) Cum Laude and above,"Accountancy, Business and Economics"
Business Management (4-year programme),"Accountancy, Business and Economics"
Business Management (4-year programme) Cum Laude and above,"Accountancy, Business and Economics"
Business Management,"Accountancy, Business and Economics"
Business Management Cum Laude and above,"Accountancy, Business and Economics"
Accountancy,"Accountancy, Business and Economics"
Business,"Accountancy, Business and Economics"
Bachelor of Accountancy (Hons),"Accountancy, Business and Economics"
Double Degree in Bachelor of Accountancy (Hons) and Bachelor of Business (Hons),"Accountancy, Business and Economics"
Bachelor of Business (Hons),"Accountancy, Business and Economics"
Double Degree in Bachelor of Business (Hons) and Bachelor of Engineering (Hons) (Computer Science),"Accountancy, Business and Economics"
Business and Computing ^,"Accountancy, Business and Economics"
Bachelor of Business Administration (Accountancy) ^,"Accountancy, Business and Economics"
Business Management (Cum Laude and above),"Accountancy, Business and Economics"
Bachelor of Accountancy,"Accountancy, Business and Economics"
Bachelor of Science in Finance,"Accountancy, Business and Economics"
Bachelor of Science in Marketing,"Accountancy, Business and Economics"
Economics (4-years programme),"Accountancy, Business and Economics"
Economics (4-years programme) Cum Laude and above,"Accountancy, Business and Economics"
Economics (4-year programme),"Accountancy, Business and Economics"
Economics (4-year programme) Cum Laude and above,"Accountancy, Business and Economics"
Economics,"Accountancy, Business and Economics"
Economics Cum Laude and above,"Accountancy, Business and Economics"
Economics (Cum Laude and above),"Accountancy, Business and Economics"
Bachelor of Accountancy with Honours,"Accountancy, Business and Economics"
Bachelor of Hospitality Business with Honours ^,"Accountancy, Business and Economics"
Bachelor of Arts (Hons) (Education),Arts and Social Sciences
Bachelor of Arts with Honours,Arts and Social Sciences
"Art, Design & Media",Arts and Social Sciences
Chinese,Arts and Social Sciences
Communication Studies,Arts and Social Sciences
English,Arts and Social Sciences
Linguistics and Multilingual Studies,Arts and Social Sciences
Psychology,Arts and Social Sciences
Sociology,Arts and Social Sciences
Bachelor of Arts,Arts and Social Sciences
Bachelor of Arts (Hons),Arts and Social Sciences
Bachelor of Social Sciences,Arts and Social Sciences
Social Sciences (4-years programme),Arts and Social Sciences
Social Sciences (4-years programme) Cum Laude and above,Arts and Social Sciences
Social Sciences (4-year programme),Arts and Social Sciences
Social Sciences (4-year programme) Cum Laude and above,Arts and Social Sciences
Bachelor of Arts with Honours in Communication Design,Arts and Social Sciences
Bachelor of Arts with Honours in Interior Design,Arts and Social Sciences
Bachelor of Professional Studies in Culinary Arts Management,Arts and Social Sciences
Bachelor of Science (Major in Hospitality Management),Arts and Social Sciences
Bachelor of Science in Early Childhood Education,Arts and Social Sciences
Social Sciences,Arts and Social Sciences
Social Sciences Cum Laude and above,Arts and Social Sciences
History,Arts and Social Sciences
Public Policy And Global Affairs **,Arts and Social Sciences
Bachelor of Arts with Honours in Criminology and Security,Arts and Social Sciences
Bachelor of Science (Hons) (Sport Science & Management),Arts and Social Sciences
Linguistics & Multilingual Studies,Arts and Social Sciences
Philosophy,Arts and Social Sciences
Public Policy and Global Affairs,Arts and Social Sciences
Social Sciences (Cum Laude and above),Arts and Social Sciences
Bachelor of Arts (Architecture) # **,Arts and Social Sciences
Bachelor of Music **,Arts and Social Sciences
Bachelor of Music,Arts and Social Sciences
Bachelor of Arts (Architecture) ** #,Design and Environment
Bachelor of Arts (Industrial Design),Design and Environment
Bachelor of Science (Project and Facilities Management),Design and Environment
Bachelor of Science (Real Estate),Design and Environment
Bachelor of Arts (Architecture) #,Design and Environment
Bachelor of Environmental Studies,Design and Environment
Bachelor of Science (Architecture and Sustainable Design) ###,Design and Environment
Science (with Education),Education
Arts (with Education),Education
Aerospace Engineering,Engineering
Bioengineering,Engineering
Chemical and Biomolecular Engineering,Engineering
Computer Engineering,Engineering
Civil Engineering,Engineering
Computer Science,Engineering
Electrical and Electronic Engineering,Engineering
Environmental Engineering,Engineering
Information Engineering and Media,Engineering
Materials Engineering,Engineering
Mechanical Engineering,Engineering
Maritime Studies,Engineering
Bachelor of Engineering (Bioengineering),Engineering
Bachelor of Engineering (Chemical Engineering),Engineering
Bachelor of Engineering (Civil Engineering),Engineering
Bachelor of Engineering (Computer Engineering),Engineering
Bachelor of Engineering (Electrical Engineering),Engineering
Bachelor of Engineering (Engineering Science),Engineering
Bachelor of Engineering (Environmental Engineering),Engineering
Bachelor of Engineering (Industrial and Systems Engineering),Engineering
Bachelor of Engineering (Materials Science and Engineering),Engineering
Bachelor of Engineering (Mechanical Engineering),Engineering
Bachelor of Engineering (Biomedical Engineering) ^^,Engineering
Bachelor of Engineering with Honours in Chemical Engineering,Engineering
Bachelor of Engineering with Honours in Marine Engineering,Engineering
Bachelor of Engineering with Honours in Mechanical Design & Manufacturing Engineering,Engineering
Bachelor of Engineering with Honours in Naval Architecture,Engineering
Bachelor of Engineering with Honours in Offshore Engineering,Engineering
Bachelor of Engineering with Honours in Aeronautical Engineering,Engineering
Bachelor of Engineering with Honours in Aerospace Systems,Engineering
Bachelor of Engineering with Honours in Mechanical Design Engineering,Engineering
Bachelor of Engineering with Honours in Mechatronics,Engineering
Aerospace Engineering and Economics **,Engineering
Business and Computer Engineering **,Engineering
Chemical And Biomolecular Engineering and Economics **,Engineering
Environmental Engineering and Economics **,Engineering
Information Engineering And Media and Economics **,Engineering
Mechanical Engineering and Economics **,Engineering
Bachelor of Engineering (Biomedical Engineering),Engineering
Bachelor of Engineering (Engineering Product Development),Engineering
Bachelor of Engineering (Engineering Systems and Design),Engineering
